Custom label (SKU),Title,Cost,Start price,2 * Cost,Result
IF_888ED41F,,69.5,230.25,False,Excellent
IF_AE708265,,10.5,274.25,False,Excellent
IF_BA123A19,,46.5,125.25,False,Excellent
J8T-P82-FEB,"DELL Desktop Computer PC i7,up to 32GB RAM,1TB m.2 SSD, Windows 10/11, WiFi",74.5,213.25,False,Excellent
J8T-P82-FEB,,74.5,141.25,False,Review
J8T-P82-FEB-10,,93.5,189.25,False,Excellent
J8T-P82-FEB-11,,106.5,199.25,False,Review
J8T-P82-FEB-12,,116.5,231.25,False,Review
J8T-P82-FEB-13,,116.5,241.25,False,Excellent
J8T-P82-FEB-16,,98.5,184.25,False,Review
J8T-P82-FEB-18,,109.5,213.25,False,Review
J8T-P82-FEB-19,,122.5,223.25,False,Review
J8T-P82-FEB-2,,62.5,172.25,False,Excellent
J8T-P82-FEB-20,,119.5,257.25,False,Excellent
J8T-P82-FEB-22,,139.5,300.25,False,Excellent
J8T-P82-FEB-23,,152.5,310.25,False,Excellent
J8T-P82-FEB-32,,82.5,147.25,False,Review
J8T-P82-FEB-34,,89.5,177.25,False,Review
J8T-P82-FEB-35,,99.5,187.25,False,Review
J8T-P82-FEB-39,,137.5,274.25,False,Review
J8T-P82-FEB-44,,119.5,257.25,False,Excellent
J8T-P82-FEB-46,,139.5,289.25,False,Excellent
J8T-P82-FEB-47,,152.5,300.25,False,Review
J8T-P82-FEB-9,,95.5,167.25,False,Review
IF_888ED41F,,69.5,230.25,False,Excellent
IF_AE708265,,10.5,274.25,False,Excellent
IF_DD1CDD4E,,56.0,146.25,False,Excellent
IF_E3B10D9A,,46.5,115.4,False,Excellent
IF_EE1C3267,,66.0,165.25,False,Excellent
L18-1FD-2IU,Dell OptiPlex 3050 Tiny Mini Micro PC i5-7500T 8GB RAM 256GB SSD Win11 PRO,27.5,78.0,False,Excellent
PYR5_In2_16_50_Wi2,,34.5,242.23,False,Excellent
PYR5_In2_16_51_Wi2,,59.5,290.68,False,Excellent
PYR5_In2_32_51_Wi2,,75.5,349.58,False,Excellent
PYR5_In3_16_1 _Wi2,,80.5,418.69,False,Excellent
PYR5_In3_16_1T_Wi2,,45.5,240.25,False,Excellent
PYR5_In3_16_25_Wi2,,45.5,245.25,False,Excellent
PYR5_In3_16_50_Wi2,,34.5,230.25,False,Excellent
PYR5_In3_16_51_Wi,,59.5,270.25,False,Excellent
PYR5_In3_16_51_Wi2,,59.5,270.25,False,Excellent
PYR5_In3_32_1 _Wi,,96.5,330.25,False,Excellent
PYR5_In3_32_1 _Wi2,,95.5,340.25,False,Excellent
PYR5_In3_32_1T_Wi2,,60.5,275.25,False,Excellent
PYR5_In3_32_51_Wi2,,75.5,298.25,False,Excellent
PYR5_In3_8G_50_Wi2,,25.5,210.25,False,Excellent
PYR5_In_8G_25_Wi,,37.5,173.83,False,Excellent
PYR5_In_8G_4T_Wi2,,8.5,222.28,False,Excellent
PYR5_In_8G_50_Wi,,26.5,173.55,False,Excellent
PYR5_In_8G_50_Wi2,,44.5,173.55,False,Excellent
QO3L-BEZ-19L07,,69.5,165.82,False,Excellent
