Custom label (SKU),Title,Cost,Start price,check
33729204,Dell Windows 11 Pro Desktop Computer PC Core i7 Upto 32GB RAM Upto 1TB SSD,,,False
33734590,Dell OptiPlex Desktop Computer PC i7 Up To 32GB RAM 1TB SSD Windows 10/11 Wi-Fi,,,False
33769129,"DELL OptiPlex Desktop PC i7,Up to 32GB RAM, 1TB NVME SSD,Windows 10/11,Wifi+BT",,,False
33800403,"DELL Desktop Computer PC i5,up to 32GB RAM 1TB SSD, Win10/11, WIFI,DVD-RW",,,False
33834589,Dell i5 Desktop Computer | Upto 32GB RAM | Upto 1TB SSD | Windows 10/11 Pro,,,False
33835663,Dell Desktop PC Intel i5 | Windows 11 Pro | Up to 32GB RAM | Up to 1TB SSD,,,False
33842793,Dell OptiPlex Desktop PC Intel i5 | Up to 32GB RAM | Up to 1TB SSD | Win 11 Pro,,,False
33843097,Dell OptiPlex SFF Desktop PC Intel i5 | Up to 32GB RAM | 1TB SSD | Win 10/11 Pro,,,False
33852308,"DELL OptiPlex Desktop PC i7,Up to 32GB RAM, 1TB NVME SSD,Windows 11 PRO,Wifi+BT",,,False
5QZ-IN-IHH,,49.4,,False
8UU-YDE-UTF,,,240.25,False
9Q6-D0HV-8AM2,,65.5,,False
BYD-YFD-VTQ,,,146.25,False
BYD-YFD-VTQ-1,,,185.25,False
BYD-YFD-VTQ-10,,,196.25,False
BYD-YFD-VTQ-11,,,230.25,False
BYD-YFD-VTQ-12,,,192.25,False
BYD-YFD-VTQ-13,,,210.25,False
BYD-YFD-VTQ-14,,,250.25,False
BYD-YFD-VTQ-15,,,222.25,False
BYD-YFD-VTQ-16,,,235.25,False
BYD-YFD-VTQ-17,,,278.25,False
BYD-YFD-VTQ-2,,,219.25,False
BYD-YFD-VTQ-3,,,165.25,False
BYD-YFD-VTQ-4,,,190.25,False
BYD-YFD-VTQ-5,,,240.25,False
BYD-YFD-VTQ-6,,,211.25,False
BYD-YFD-VTQ-7,,,225.25,False
BYD-YFD-VTQ-8,,,268.25,False
BYD-YFD-VTQ-9,,,154.25,False
C5M-QTAC-19Z6,,96.4,,False
COS-GHB-C54,,65.5,,False
COS-GHB-C54-3,,65.5,,False
COS-GHB-C54-4,,79.5,,False
COS-GHB-C54-5,,100.5,,False
D9F-7IT-U3V,"DELL Desktop Computer PC i5,up to 32GB RAM,1TB m.2 SSD, Windows 10/11, WiFi",,,False
H39U-P2G8-PFILT,HP PRO 3500 MIDTOWER PC INTEL CORE i3-3220 3.3GHz 8GB 500GB WINDOWS 10 PRO,,161.67,False
I1H-7YW-W23,Symcode MJ R30 2D Portable Wireless Bluetooth Finger Ring Barcode Scanner Reader,,75.0,False
ID6-SI8-OUM,,118.0,,False
IF_00CBC69C,,46.5,140.25,False
IF_0777984F,,83.0,,False
IF_083EAB54,,,277.25,False
IF_09BB4997,,,313.25,False
IF_0A4511F7,,,270.25,False
IF_0D2B1520,,,168.25,False
IF_0EE07D0C,,,285.25,False
IF_0F8BDE53,,,192.25,False
IF_130B0915,,,200.25,False
IF_154D8723,,58.0,,False
IF_15F83DC2,,,150.25,False
IF_176DAF69,,,235.25,False
IF_1A31D5F9,,,244.25,False
IF_1AA7419F,,54.5,,False
IF_1CCB9390,,,123.19,False
IF_1DFB7649,,,275.25,False
IF_1F84EA10,,,240.25,False
IF_1FC6E52C,,88.0,,False
IF_219DC41B,,75.0,,False
IF_21EDD20C,,,270.25,False
IF_225569AB,,,149.09,False
IF_23EA8B63,,,165.25,False
IF_259008BF,,,207.25,False
IF_26EC1044,,,164.99,False
IF_288CE5A8,,56.0,,False
IF_2942DABD,,,240.25,False
IF_2C73222F,,,215.25,False
IF_2C8BB817,,,140.25,False
IF_2CA16E92,,,175.25,False
IF_305714E4,,,153.29,False
IF_340499B6,,,200.25,False
IF_378ECD6C,,116.5,315.25,False
IF_38266920,,,230.25,False
IF_39622742,,,197.25,False
IF_39AD308F,,,235.25,False
IF_39F4BBEB,,,270.25,False
IF_3A07400F,,,167.99,False
IF_3D8DFD4B,,,170.25,False
IF_3ED4AAAD,,48.0,,False
IF_4093E986,,,175.25,False
IF_426D4C84,,,329.99,False
IF_42970DC4,,,258.25,False
IF_4420638A,,,225.25,False
IF_445437F5,,,159.99,False
IF_460893CB,,95.5,280.25,False
IF_4A4E9330,,97.0,,False
IF_4A722809,,,223.25,False
IF_527A15FF,,81.0,,False
IF_52E48F80,,,289.99,False
IF_542FB4D4,,56.0,,False
IF_5582E92E,,,242.99,False
IF_5590DCF6,,,147.69,False
IF_5CB1758E,,,217.25,False
IF_5ECB8650,,,230.25,False
IF_5F387746,,,195.25,False
IF_6025AB1C,,,200.25,False
IF_63447A08,,71.5,200.25,False
IF_671CCC53,,,199.99,False
IF_67783588,,,172.19,False
IF_680D8782,,,185.25,False
IF_69CF45FE,,,153.25,False
IF_6AF6FE20,,,228.25,False
IF_6D89C57B,,,240.25,False
IF_6F58ECAD,,73.0,,False
IF_72268247,,,234.25,False
IF_725D8823,,,292.25,False
IF_755F345D,,,180.25,False
IF_75F84DA7,,,160.25,False
IF_763B954B,,,260.25,False
IF_78134AC6,,,249.99,False
IF_7B0BF5BF,,,284.25,False
IF_80A06F63,,66.0,,False
IF_822677B1,,,305.25,False
IF_831EA48D,,,250.25,False
IF_84587549,,57.5,,False
IF_86816C12,,,345.25,False
IF_875B654F,,,260.25,False
IF_876C4E10,,,202.25,False
IF_87E348FD,,,179.99,False
IF_87EC1165,,,181.99,False
IF_8810919F,,,265.25,False
IF_886732F0,,,208.99,False
IF_888ED41F,,69.5,230.25,False
IF_892FB662,,,206.25,False
IF_8B22FEF6,,,235.25,False
IF_8BE08C08,,,186.25,False
IF_8EEE294C,,,298.25,False
IF_8F7BC5BA,,,144.25,False
IF_95A4515A,,,174.99,False
IF_97C44C93,,,239.99,False
IF_97D54737,,,202.29,False
IF_9A085DCB,,,240.25,False
IF_9B2B1DA3,,,235.25,False
IF_9BDB7082,,,297.99,False
IF_9E261AC9,,,190.25,False
IF_A0EDE828,,,229.99,False
IF_A486D436,,,175.25,False
IF_A6CD9766,,,270.25,False
IF_A9393636,,,216.25,False
IF_A944E05D,,,328.25,False
IF_AABB427E,,,219.25,False
IF_ADB2936B,,,275.25,False
IF_AE708265,,10.5,,False
IF_B144F287,,,278.25,False
IF_B4663C6D,,,254.25,False
IF_BA123A19,,46.5,125.25,False
IF_BA93A82F,,,260.25,False
IF_BC162B16,,81.5,,False
IF_BD6C5C90,,,132.25,False
IF_BD6D5B7E,,,265.25,False
IF_C07308D3,,,279.25,False
IF_C18E8812,,,267.25,False
IF_C25CCCD7,,,285.99,False
IF_C3D51335,,,216.25,False
IF_C60238F9,,,165.25,False
IF_C7221F61,,,244.25,False
IF_CAA95856,,,205.25,False
IF_CB715290,,,294.99,False
IF_CE33305F,,58.0,,False
IF_CF735A48,,,128.25,False
IF_CF81E465,,,160.25,False
IF_D07C238A,,,185.25,False
IF_D0C8631C,,,303.25,False
IF_D1A1779C,,,198.25,False
IF_D646ABAC,,,138.25,False
IF_D9A3DC42,,,310.25,False
IF_DAA66A92,,,225.25,False
IF_DAD8B0DD,,,226.25,False
IF_DD1CDD4E,,56.0,,False
IF_DDCF295B,,,160.25,False
IF_E1299351,,,303.25,False
IF_E33FC70B,,,104.99,False
IF_E3B10D9A,,46.5,,False
IF_E47DD569,,,157.99,False
IF_E99656B9,,,299.99,False
IF_E9A2D6A7,,,195.25,False
IF_ED0E1BA5,,,198.25,False
IF_EE1C3267,,66.0,,False
IF_EE43107B,,,278.25,False
IF_EE81AD7A,,,129.49,False
IF_F06743C0,,,305.25,False
IF_F56FA9A9,,,187.25,False
IF_F711064B,,,180.25,False
IF_FA231D2B,,,234.25,False
IF_FDC9D546,,,269.25,False
IF_FF4ED4F8,,,265.25,False
IF_FF7B1603,,,208.25,False
IF_FFEA9BC5,,,175.25,False
J8T-P82-FEB,"DELL Desktop Computer PC i7,up to 32GB RAM,1TB m.2 SSD, Windows 10/11, WiFi",74.5,,False
J8T-P82-FEB,,74.5,141.25,False
J8T-P82-FEB-1,,,150.25,False
J8T-P82-FEB-10,,93.5,189.25,False
J8T-P82-FEB-11,,106.5,199.25,False
J8T-P82-FEB-12,,116.5,231.25,False
J8T-P82-FEB-13,,116.5,241.25,False
J8T-P82-FEB-14,,,272.25,False
J8T-P82-FEB-15,,,282.25,False
J8T-P82-FEB-16,,98.5,184.25,False
J8T-P82-FEB-17,,,194.25,False
J8T-P82-FEB-18,,109.5,213.25,False
J8T-P82-FEB-19,,122.5,223.25,False
J8T-P82-FEB-2,,62.5,172.25,False
J8T-P82-FEB-20,,119.5,257.25,False
J8T-P82-FEB-21,,,267.25,False
J8T-P82-FEB-22,,139.5,300.25,False
J8T-P82-FEB-23,,152.5,310.25,False
J8T-P82-FEB-24,,,125.25,False
J8T-P82-FEB-25,,,135.25,False
J8T-P82-FEB-26,,,162.25,False
J8T-P82-FEB-27,,,172.25,False
J8T-P82-FEB-28,,,204.25,False
J8T-P82-FEB-29,,,214.25,False
J8T-P82-FEB-3,,,182.25,False
J8T-P82-FEB-30,,,247.25,False
J8T-P82-FEB-31,,,257.25,False
J8T-P82-FEB-32,,82.5,147.25,False
J8T-P82-FEB-33,,,157.25,False
J8T-P82-FEB-34,,89.5,177.25,False
J8T-P82-FEB-35,,99.5,187.25,False
J8T-P82-FEB-36,,,220.25,False
J8T-P82-FEB-37,,,232.25,False
J8T-P82-FEB-38,,,264.25,False
J8T-P82-FEB-39,,137.5,274.25,False
J8T-P82-FEB-4,,,213.25,False
J8T-P82-FEB-40,,,172.25,False
J8T-P82-FEB-41,,,183.25,False
J8T-P82-FEB-42,,,203.25,False
J8T-P82-FEB-43,,,216.25,False
J8T-P82-FEB-44,,119.5,257.25,False
J8T-P82-FEB-45,,,267.25,False
J8T-P82-FEB-46,,139.5,289.25,False
J8T-P82-FEB-47,,152.5,300.25,False
J8T-P82-FEB-5,,,222.25,False
J8T-P82-FEB-6,,,255.25,False
J8T-P82-FEB-7,,,266.25,False
J8T-P82-FEB-8,,,157.25,False
J8T-P82-FEB-9,,95.5,167.25,False
LET-09A-XAY,Alacrity Upgraded 2D Industrial Barcode Scanner w/Wireless Charging Stand Orange,,48.99,False
NG72-LZ0-CPEW5,,,162.25,False
NG72-LZ0-CPEW5,Lenovo ThinkCentre M710q tiny i5-7500T 2.7ghz 16GB RAM 256GB SSD Windows 11,,150.0,False
NG72-LZ0-CPEW5-1,,,165.75,False
NG72-LZ0-CPEW5-10,,,196.25,False
NG72-LZ0-CPEW5-11,,,202.25,False
NG72-LZ0-CPEW5-12,,,191.56,False
NG72-LZ0-CPEW5-13,,,205.75,False
NG72-LZ0-CPEW5-14,,,253.25,False
NG72-LZ0-CPEW5-15,,,239.25,False
NG72-LZ0-CPEW5-16,,,247.75,False
NG72-LZ0-CPEW5-17,,,253.25,False
NG72-LZ0-CPEW5-18,,,200.75,False
NG72-LZ0-CPEW5-19,,,205.45,False
NG72-LZ0-CPEW5-2,,,171.25,False
NG72-LZ0-CPEW5-20,,,210.75,False
NG72-LZ0-CPEW5-21,,,242.75,False
NG72-LZ0-CPEW5-22,,,248.45,False
NG72-LZ0-CPEW5-23,,,252.75,False
NG72-LZ0-CPEW5-24,,,287.75,False
NG72-LZ0-CPEW5-25,,,294.75,False
NG72-LZ0-CPEW5-26,,,298.75,False
NG72-LZ0-CPEW5-27,,,174.45,False
NG72-LZ0-CPEW5-28,,,178.75,False
NG72-LZ0-CPEW5-29,,,184.75,False
NG72-LZ0-CPEW5-3,,,183.0,False
NG72-LZ0-CPEW5-30,,,194.75,False
NG72-LZ0-CPEW5-31,,,202.25,False
NG72-LZ0-CPEW5-32,,,207.25,False
NG72-LZ0-CPEW5-33,,,225.45,False
NG72-LZ0-CPEW5-34,,,235.75,False
NG72-LZ0-CPEW5-35,,,241.55,False
NG72-LZ0-CPEW5-36,,,187.75,False
NG72-LZ0-CPEW5-37,,,194.75,False
NG72-LZ0-CPEW5-38,,,197.75,False
NG72-LZ0-CPEW5-39,,,202.55,False
NG72-LZ0-CPEW5-4,,,196.75,False
NG72-LZ0-CPEW5-40,,,211.55,False
NG72-LZ0-CPEW5-41,,,220.55,False
NG72-LZ0-CPEW5-42,,,245.75,False
NG72-LZ0-CPEW5-43,,,254.45,False
NG72-LZ0-CPEW5-44,,,262.45,False
NG72-LZ0-CPEW5-45,,,212.25,False
NG72-LZ0-CPEW5-46,,,222.25,False
NG72-LZ0-CPEW5-47,,,227.25,False
NG72-LZ0-CPEW5-48,,,258.75,False
NG72-LZ0-CPEW5-49,,,265.45,False
NG72-LZ0-CPEW5-5,,,199.25,False
NG72-LZ0-CPEW5-50,,,268.75,False
NG72-LZ0-CPEW5-51,,,298.45,False
NG72-LZ0-CPEW5-52,,,306.55,False
NG72-LZ0-CPEW5-53,,,308.45,False
NG72-LZ0-CPEW5-6,,,217.15,False
NG72-LZ0-CPEW5-7,,,230.75,False
NG72-LZ0-CPEW5-8,,,236.15,False
NG72-LZ0-CPEW5-9,,,178.25,False
O2E-15E-KAH,,,280.25,False
PR5-9KA-919,,,245.25,False
PYR5_In2_16_50_Wi2,,34.5,,False
PYR5_In2_16_51_Wi2,,59.5,,False
PYR5_In2_32_51_Wi2,,75.5,,False
PYR5_In3_16_1 _Wi2,,80.5,,False
PYR5_In3_16_1T_Wi2,,45.5,,False
PYR5_In3_16_25_Wi2,,45.5,,False
PYR5_In3_16_50_Wi2,,34.5,,False
PYR5_In3_16_51_Wi,,59.5,,False
PYR5_In3_16_51_Wi2,,59.5,,False
PYR5_In3_32_1 _Wi,,96.5,,False
PYR5_In3_32_1 _Wi2,,95.5,,False
PYR5_In3_32_1T_Wi2,,60.5,,False
PYR5_In3_32_51_Wi2,,75.5,,False
PYR5_In3_8G_50_Wi2,,25.5,,False
PYR5_In_8G_25_Wi,,37.5,,False
PYR5_In_8G_4T_Wi2,,8.5,,False
PYR5_In_8G_50_Wi,,26.5,,False
PYR5_In_8G_50_Wi2,,44.5,,False
QO3L-BEZ-19L07,,69.5,,False
QZI-9UU-PUJ,"Dell 22″ Widescreen LCD Monitor – 1680×1050/1080p, Includes Stand & VGA Cable",,58.53,False
T3E-HA6-EGP,,,310.25,False
URH-CNA-DBR-10,,,292.25,False
URH-CNA-DBR-12,,,342.25,False
URH-CNA-DBR-22,,,275.25,False
URH-CNA-DBR-24,,,299.25,False
URH-CNA-DBR-26,,,367.25,False
URH-CNA-DBR-36,,,337.25,False
URH-CNA-DBR-38,,,362.25,False
URH-CNA-DBR-40,,,417.25,False
URH-CNA-DBR-50,,,202.25,False
URH-CNA-DBR-52,,,221.25,False
URH-CNA-DBR-54,,,262.25,False
URH-CNA-DBR-64,,,232.25,False
URH-CNA-DBR-66,,,257.25,False
URH-CNA-DBR-68,,,322.25,False
URH-CNA-DBR-78,,,302.25,False
URH-CNA-DBR-8,,,251.25,False
URH-CNA-DBR-80,,,323.25,False
URH-CNA-DBR-82,,,407.25,False
VKJ-3H8-EZZ,,,275.25,False
WY1-1FI-Z5F,,,315.25,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
